id1	name1	id2	name2	Contigs_k20	Proteins_k8:all	Proteins_k8:PhenTrnaSyntAlph	Proteins_k8:PolyNucl	Proteins_k8:DnaDireRnaPolyBeta3	Profile_roles.to.use	SSU_k20	ANI_chunk1020.I30,M>35	Genes_k20:all	Taxonomic
100226.15	Streptomyces coelicolor A3(2)	100226.134	Streptomyces coelicolor A3(2) strain ICSSB 1010	  0.0360	  0.0701	  0.0000	  0.0000	  0.0000	  0.0076	  0.1203	  0.0002	  0.0511	  0.0000
100226.15	Streptomyces coelicolor A3(2)	2615112.3	Streptomyces sp. HIT-DPA4	  0.9731	  0.7834	  0.5061	  0.3337	  0.3804	  0.1336	  0.5826	  0.1407	  0.9333	  0.0078
100226.15	Streptomyces coelicolor A3(2)	2650750.3	Phytoactinopolyspora sp. XMNu-373	  0.9987	  0.9770	  0.9199	  0.8709	  0.8171	  0.2535	  0.8510	  0.2121	  0.9979	  0.0625
100226.15	Streptomyces coelicolor A3(2)	66423.13	Streptomyces eurocidicus strain ATCC 27428	  0.9873	  0.8755	  0.6858	  0.4729	  0.4558	  0.1487	  0.6237	  0.1655	  0.9666	  0.0078
1007096.3	Oscillibacter ruminantium GH1	1673721.90	Intestinimonas massiliensis SL.1.28	  0.9984	  0.9677	  0.8620	  0.9099	  0.8445	  0.2459	  0.8176	  0.2042	  0.9968	  0.0313
1007096.3	Oscillibacter ruminantium GH1	2485925.1831	Oscillospiraceae bacterium min17_bin10	  0.9985	  0.9569	  0.8904	  0.6934	  0.7520	  0.2866	  0.7621	  0.1927	  0.9959	  0.0156
1007096.3	Oscillibacter ruminantium GH1	2763056.3	Oscillibacter sp. NSJ-62	  0.9967	  0.9222	  0.8463	  0.6809	  0.6874	  0.1981	  0.5402	  0.1878	  0.9927	  0.0078
1007096.3	Oscillibacter ruminantium GH1	693746.9	Oscillibacter valericigenes Sjm18-20	  0.9865	  0.7493	  0.5447	  0.4818	  0.4544	  0.1102	  0.4447	  0.1534	  0.9725	  0.0078
100901.6	Wolbachia endosymbiont of Onchocerca ochengi strain wOo	125593.3	Wolbachia endosymbiont of Trichogramma pretiosum strain wTpre	  0.9905	  0.8760	  0.8925	  0.7950	  0.0000	  0.1033	  0.7423	  0.1650	  0.9870	  0.0078
100901.6	Wolbachia endosymbiont of Onchocerca ochengi strain wOo	244204.216	uncultured Wolbachia sp. strain WOLB0233	  0.9878	  0.8585	  0.8686	  0.7781	  1.0000	  0.0882	  0.6624	  0.1568	  0.9824	  0.0078
